noun,Eventive_1,Eventive_2,Pluralia Tantum_1,Pluralia Tantum_2,Animate/Inanimate_1,Animate/Inanimate_2,Animate/Inanimate_3,Collective_1,Collective_2,Common_1,Common_2,Count_1,Count_2,Mass_1,Mass_2,total_score
absence,0.72,0.91,-0.71,0.92,-0.89,-0.97,-0.96,-0.69,-0.93,0.86,0.72,0.92,0.97,-0.54,-0.80,0.03
abundance,0.63,0.95,-0.68,0.81,-0.86,-0.97,-0.95,-0.58,-0.87,0.92,0.66,0.94,0.97,0.93,-0.79,0.15
abuse,0.93,0.98,-0.62,0.93,-0.87,-0.97,-0.97,0.52,-0.89,0.93,0.63,0.84,0.97,0.93,-0.94,0.24
academics,0.83,0.82,-0.93,-0.77,-0.94,-0.96,0.57,-0.61,0.98,-0.95,-0.62,-0.51,-0.58,-0.96,0.92,-0.23
academy,0.86,0.98,0.86,0.94,-0.85,-0.68,0.90,0.94,0.93,0.98,0.81,0.93,0.88,0.56,-0.80,0.60
accelerant,0.90,0.96,0.73,0.96,0.80,-0.89,-0.89,0.79,-0.87,0.97,0.87,0.95,0.97,0.95,-0.79,0.48
accelerator,0.86,0.56,0.85,0.95,0.70,-0.64,0.87,0.93,0.67,0.98,0.90,0.95,0.94,-0.59,-0.76,0.56
accent,0.76,0.82,0.50,0.95,0.60,-0.96,-0.97,-0.73,-0.89,0.97,0.90,0.96,0.95,0.73,-0.90,0.30
acceptance,0.92,0.98,-0.69,0.94,-0.90,-0.97,-0.97,-0.57,-0.95,0.95,0.74,0.92,0.87,0.76,-0.71,0.16
access,0.92,0.98,-0.77,0.90,-0.94,-0.96,-0.97,-0.63,-0.91,0.98,0.60,0.93,0.92,0.90,-0.89,0.14
accessory,0.88,-0.56,0.73,0.96,0.86,-0.58,-0.72,-0.68,-0.90,0.98,0.94,0.90,0.89,0.94,-0.84,0.28
accident,0.84,0.98,0.73,0.96,-0.93,-0.96,-0.95,-0.61,-0.88,0.94,0.88,0.83,0.96,-0.73,-0.84,0.15
accommodation,0.77,0.98,-0.63,0.93,-0.96,-0.96,-0.93,-0.55,-0.90,0.98,0.90,0.92,0.71,0.95,-0.90,0.16
accompanist,0.86,0.63,0.62,0.95,0.88,0.96,0.95,0.89,-0.94,0.97,0.75,0.91,0.63,-0.84,-0.76,0.47
accomplishment,0.88,0.98,0.65,0.95,-0.90,-0.97,-0.97,0.54,-0.95,0.98,0.82,0.85,0.96,0.85,-0.84,0.34
accord,0.76,0.98,0.58,0.94,-0.85,-0.97,-0.92,0.86,-0.93,0.97,0.83,0.93,0.87,-0.51,-0.59,0.28
accordance,-0.80,0.86,-0.72,0.76,-0.95,-0.97,-0.95,-0.53,-0.92,0.94,0.56,0.87,0.95,-0.59,-0.54,-0.08
accordion,0.81,0.70,0.76,0.96,0.83,-0.85,-0.70,0.83,-0.94,0.97,0.86,0.88,0.91,0.85,-0.88,0.44
account,0.94,0.97,-0.70,0.95,0.73,-0.93,-0.97,0.71,-0.95,0.98,0.93,0.90,0.94,0.81,-0.84,0.35
accountability,0.76,0.97,-0.86,0.81,-0.67,-0.96,-0.97,0.56,-0.88,0.93,0.59,0.93,0.96,0.93,-0.89,0.22
accountant,0.74,-0.72,0.67,0.96,0.91,0.97,0.96,0.73,-0.89,0.96,0.69,0.95,0.52,0.71,-0.75,0.46
accounting,0.95,0.98,-0.59,0.94,-0.65,-0.96,-0.94,-0.51,-0.89,0.98,0.80,0.92,0.93,0.96,-0.88,0.21
accuracy,0.52,0.71,-0.88,0.60,-0.70,-0.97,-0.96,-0.83,-0.90,0.92,0.54,0.94,0.97,0.82,-0.81,0.06
accusation,0.76,0.97,0.59,0.96,0.92,-0.97,-0.97,-0.53,-0.93,0.97,0.83,0.88,0.94,0.89,-0.86,0.34
acetate,0.86,0.97,0.79,0.94,0.94,-0.96,-0.95,-0.61,-0.87,0.98,0.81,0.93,0.95,0.97,-0.94,0.37
achievement,0.89,0.98,0.69,0.96,-0.77,-0.97,-0.97,-0.52,-0.93,0.98,0.86,0.88,0.96,0.82,-0.83,0.28
achiever,0.72,-0.52,0.77,0.94,0.91,0.96,0.96,0.71,-0.70,0.68,0.64,0.94,0.76,-0.55,-0.60,0.41
acid,0.90,0.97,0.67,0.96,0.55,-0.96,-0.96,-0.57,-0.70,0.98,0.83,0.96,0.97,0.98,-0.87,0.37
acknowledgment,0.92,0.97,-0.53,0.96,-0.84,-0.97,-0.95,-0.67,-0.94,0.97,0.79,0.94,0.91,0.92,-0.79,0.19
acorn,0.71,0.64,0.62,0.95,0.83,-0.70,-0.85,-0.59,-0.93,0.96,0.88,0.92,0.90,0.79,-0.80,0.33
acoustics,0.93,0.97,-0.85,-0.89,-0.93,-0.96,-0.96,-0.78,0.59,-0.87,0.58,-0.60,-0.64,-0.94,0.53,-0.28
acquaintance,0.73,0.97,-0.53,0.94,0.93,0.95,0.94,0.92,-0.81,0.97,0.75,0.80,0.84,0.62,-0.89,0.51
acquisition,0.95,0.98,0.64,0.95,-0.89,-0.97,-0.96,-0.65,-0.92,0.98,0.88,0.90,0.85,-0.66,-0.86,0.15
acre,-0.74,-0.78,0.53,0.95,-0.96,-0.96,-0.94,-0.83,-0.93,0.86,0.77,0.84,0.91,0.83,-0.88,-0.03
acrylic,0.73,0.76,-0.75,0.93,0.60,-0.95,-0.91,-0.65,-0.70,0.97,0.80,0.95,0.93,0.97,-0.82,0.23
act,0.92,0.98,0.55,0.97,-0.83,-0.97,-0.97,0.87,-0.92,0.98,0.85,0.87,0.96,-0.56,-0.88,0.27
action,0.92,0.98,-0.69,0.96,-0.55,-0.97,-0.97,0.70,-0.93,0.98,0.77,0.95,0.96,0.86,-0.87,0.28
activation,0.96,0.98,-0.66,0.96,-0.59,-0.96,-0.95,0.71,-0.77,0.98,0.81,0.88,0.97,0.91,-0.82,0.30
activist,0.60,-0.85,0.54,0.93,0.91,0.97,0.96,0.85,-0.84,0.93,0.59,0.84,0.58,-0.55,-0.78,0.34
activity,0.95,0.98,-0.72,0.95,-0.80,-0.97,-0.97,0.91,-0.88,0.98,0.72,0.92,0.96,0.94,-0.92,0.28
actor,0.69,-0.89,-0.62,0.91,0.81,0.96,0.96,-0.55,-0.94,0.93,0.58,0.80,0.63,0.69,-0.86,0.23
actress,0.67,-0.89,-0.60,0.90,0.79,0.97,0.97,-0.52,-0.92,0.93,0.58,0.78,0.75,0.67,-0.82,0.24
acupuncture,0.93,0.98,-0.83,0.66,-0.93,-0.97,-0.96,-0.63,-0.88,0.96,0.71,0.66,0.81,0.89,-0.91,0.10
ad,0.77,0.95,-0.55,0.96,0.73,-0.90,-0.96,-0.64,-0.89,0.98,0.92,0.89,0.93,0.74,-0.85,0.25
adaptation,0.96,0.98,0.60,0.94,-0.69,-0.95,-0.95,-0.57,-0.94,0.98,0.94,0.95,0.95,0.67,-0.79,0.28
adapter,0.78,0.65,0.86,0.97,0.94,0.58,0.94,0.81,-0.89,0.98,0.95,0.92,0.95,0.72,-0.75,0.61
addiction,0.77,0.98,0.87,0.94,0.57,-0.96,-0.96,0.59,-0.90,0.95,0.88,0.96,0.96,0.78,-0.93,0.43
addition,0.91,0.98,-0.64,0.94,-0.81,-0.92,-0.67,0.74,-0.89,0.98,0.80,0.91,0.95,-0.56,-0.80,0.19
address,-0.58,0.64,-0.61,0.95,-0.90,-0.97,-0.96,0.71,-0.95,0.98,0.91,0.91,0.97,0.92,-0.86,0.15
adjective,0.57,0.51,0.68,0.96,0.92,-0.93,-0.88,0.66,-0.91,0.97,0.95,0.97,0.96,0.96,-0.72,0.43
adjustment,0.97,0.98,0.66,0.97,-0.92,-0.96,-0.96,-0.63,-0.88,0.98,0.90,0.93,0.84,0.77,-0.78,0.27
admin,0.67,0.68,-0.68,0.95,0.81,0.96,0.96,0.93,0.66,0.95,0.58,0.83,0.81,-0.50,-0.83,0.49
administration,0.70,-0.84,-0.63,0.92,-0.88,0.91,0.95,0.90,0.66,0.93,-0.50,0.90,0.67,-0.87,-0.91,0.18
administrator,0.59,-0.89,0.54,0.95,0.90,0.97,0.97,0.80,-0.95,0.90,0.53,0.84,0.62,-0.54,-0.67,0.33
admire,-0.88,-0.59,-0.91,-0.51,-0.82,-0.80,-0.89,-0.55,-0.90,-0.78,-0.68,0.69,0.82,-0.76,-0.94,-0.55
admission,0.91,0.98,-0.71,0.97,-0.93,-0.96,-0.95,-0.52,-0.92,0.98,0.75,0.93,0.85,-0.70,-0.85,0.05
adobe,-0.67,-0.67,-0.53,0.89,0.62,0.95,0.87,0.74,-0.91,0.96,0.56,0.89,0.93,-0.70,-0.88,0.16
adoption,0.88,0.98,0.82,0.95,-0.91,-0.96,-0.96,-0.56,-0.88,0.98,0.86,0.93,0.89,0.55,-0.90,0.26
adrenalin,0.91,0.97,-0.66,0.94,-0.63,-0.96,-0.95,-0.66,-0.86,0.97,0.70,0.95,0.96,0.90,-0.94,0.18
adrenaline,0.68,0.97,-0.83,0.57,0.72,-0.96,-0.96,-0.83,-0.89,0.98,0.65,0.97,0.96,0.95,-0.92,0.18
adult,-0.92,-0.88,-0.67,0.93,0.56,0.95,0.96,-0.62,-0.93,0.60,0.64,0.66,0.68,0.58,-0.92,0.06
adulthood,-0.88,0.69,-0.89,0.68,-0.94,-0.97,-0.95,-0.53,-0.90,-0.81,-0.72,0.93,0.86,0.53,-0.88,-0.27
advance,0.93,0.98,-0.64,0.96,-0.95,-0.97,-0.94,-0.68,-0.95,0.98,0.72,0.92,0.94,0.52,-0.90,0.13
advancement,0.95,0.98,-0.52,0.94,-0.96,-0.96,-0.96,-0.59,-0.91,0.98,0.78,0.93,0.94,0.77,-0.80,0.18
advantage,0.85,0.97,-0.60,0.92,-0.92,-0.96,-0.96,-0.73,-0.92,0.94,0.82,0.94,0.97,0.83,-0.82,0.16
advent,0.90,0.98,-0.53,0.96,-0.95,-0.96,-0.95,0.84,-0.95,0.97,0.76,0.96,0.96,-0.57,-0.79,0.18
adverb,0.71,0.81,0.72,0.95,0.85,-0.96,-0.63,0.53,-0.85,0.97,0.92,0.96,0.94,0.95,-0.85,0.45
advertisement,0.87,0.96,0.65,0.96,0.57,-0.92,-0.96,-0.56,-0.93,0.98,0.91,0.80,0.75,0.94,-0.80,0.33
advertising,0.93,0.98,-0.90,0.68,-0.62,-0.95,-0.96,-0.74,-0.72,0.98,0.78,0.90,0.90,0.98,-0.92,0.15
advice,0.88,0.97,-0.87,0.93,-0.72,-0.96,-0.97,0.53,-0.93,0.97,0.77,0.94,0.96,0.97,-0.92,0.25
adviser,-0.54,-0.92,-0.72,0.94,0.88,0.96,0.95,0.76,-0.96,0.96,0.54,0.88,-0.52,0.56,-0.80,0.15
advocacy,0.94,0.98,-0.75,0.86,-0.92,-0.96,-0.96,0.89,-0.79,0.98,0.68,0.92,0.97,0.94,-0.91,0.27
advocate,-0.51,-0.82,-0.52,0.92,0.86,0.96,0.96,0.90,-0.88,0.91,0.61,0.85,0.67,-0.60,-0.90,0.18
affair,0.90,0.97,0.86,0.96,-0.60,-0.96,-0.96,0.66,-0.94,0.90,0.89,0.87,0.88,0.54,-0.87,0.35
affect,0.65,0.96,-0.79,0.92,-0.94,-0.97,-0.96,-0.75,-0.88,0.98,0.69,0.93,0.94,0.70,-0.85,0.11
affidavit,0.76,0.94,0.52,0.96,-0.91,-0.96,-0.96,-0.58,-0.96,0.97,0.90,0.85,0.95,0.85,-0.86,0.24
affiliate,0.69,0.55,0.58,0.95,0.79,0.96,0.96,0.97,0.90,0.96,0.84,0.97,0.91,-0.67,-0.74,0.62
affinity,0.70,0.97,0.63,0.95,0.76,-0.96,-0.96,0.68,-0.89,0.97,0.82,0.97,0.97,0.92,-0.85,0.43
afoul,-0.82,-0.64,0.65,0.89,-0.60,0.94,0.88,0.71,-0.66,0.63,-0.52,0.93,0.91,-0.91,-0.89,0.08
afterlife,0.74,0.97,0.70,0.92,-0.67,-0.96,-0.95,0.51,-0.86,0.96,0.70,0.95,0.95,-0.64,-0.89,0.24
aftermath,0.64,0.97,-0.58,0.60,-0.91,-0.97,-0.96,-0.67,-0.95,0.97,0.76,0.94,0.93,-0.53,-0.80,0.03
afternoon,0.64,0.97,0.58,0.96,-0.77,-0.97,-0.96,0.52,-0.80,0.96,0.83,0.68,0.93,-0.55,-0.89,0.22
aftershave,0.94,0.96,-0.69,0.96,-0.79,-0.96,-0.94,0.58,-0.91,0.96,0.82,0.87,0.93,0.97,-0.92,0.26
aftershock,0.89,0.98,0.55,0.96,0.76,-0.96,-0.96,0.52,-0.91,0.97,0.82,0.86,0.92,0.75,-0.91,0.40
afterthought,0.83,0.97,0.68,0.95,-0.92,-0.96,-0.94,0.54,-0.93,0.92,0.84,0.85,0.97,0.77,-0.83,0.33
age,-0.93,0.55,-0.90,0.92,-0.95,-0.97,-0.96,-0.54,-0.84,-0.57,0.84,0.89,0.85,-0.58,-0.86,-0.22
agency,-0.62,-0.75,0.54,0.92,-0.88,0.52,0.95,0.94,-0.60,0.96,0.54,0.92,0.90,0.51,-0.77,0.28
agenda,0.80,0.97,0.65,0.95,0.81,-0.96,-0.96,0.56,-0.96,0.97,0.83,0.92,0.96,0.95,-0.89,0.43
agent,-0.55,-0.93,-0.57,0.95,0.92,0.96,0.96,0.83,-0.97,0.96,0.54,0.88,0.55,-0.55,-0.71,0.17
aggradation,0.92,0.98,0.55,0.88,-0.92,-0.96,-0.90,0.53,-0.83,0.96,0.71,0.93,0.96,0.79,-0.75,0.34
aggression,0.89,0.98,-0.55,0.91,0.65,-0.97,-0.97,0.50,-0.85,0.97,0.76,0.92,0.93,0.92,-0.88,0.33
aglet,-0.61,0.88,0.66,0.96,0.72,0.95,0.89,0.96,-0.61,0.96,0.58,0.89,0.95,-0.64,-0.71,0.43
agony,0.81,0.98,-0.73,0.91,0.69,-0.96,-0.96,-0.56,-0.87,0.95,0.75,0.89,0.96,0.91,-0.89,0.24
agreement,0.77,0.98,0.61,0.94,0.76,-0.97,-0.96,0.73,-0.95,0.98,0.83,0.89,0.93,0.82,-0.81,0.42
agriculture,0.89,0.98,-0.87,0.53,-0.90,-0.96,-0.91,-0.60,-0.82,0.95,0.60,0.93,0.96,0.97,-0.93,0.12
aid,0.71,0.97,-0.73,0.94,0.64,-0.91,0.62,-0.72,-0.83,0.98,0.73,0.91,0.83,0.96,-0.93,0.29
aide,0.53,-0.83,-0.78,0.95,0.86,0.96,0.96,-0.54,-0.95,0.97,0.57,0.78,0.60,0.64,-0.81,0.21
aim,-0.52,0.62,-0.52,0.94,-0.82,-0.95,-0.96,-0.59,-0.95,0.96,0.80,0.94,0.80,-0.53,-0.80,-0.05
air,0.59,-0.81,-0.82,-0.50,0.75,-0.97,-0.97,-0.81,-0.88,0.97,0.58,0.91,0.93,0.94,-0.91,-0.04
airbag,0.68,0.53,0.82,0.97,0.93,-0.92,-0.90,-0.54,-0.93,0.98,0.91,0.90,0.94,0.67,-0.80,0.32
airbus,0.82,-0.57,0.81,0.96,-0.62,-0.58,-0.80,0.87,-0.73,0.98,0.92,0.93,0.95,-0.52,0.64,0.34
aircraft,0.62,-0.86,0.68,0.95,-0.95,-0.87,-0.94,0.64,0.62,0.91,0.82,0.83,0.74,-0.78,0.75,0.29
airfare,0.96,0.98,0.66,0.95,-0.91,-0.96,-0.94,0.59,-0.66,0.98,0.87,0.91,0.96,0.82,-0.86,0.38
airfield,-0.56,-0.79,0.78,0.91,-0.94,-0.94,-0.90,-0.63,-0.81,0.97,0.85,0.92,0.92,0.53,-0.74,0.04
airforce,0.69,-0.63,0.63,0.89,0.58,0.92,0.94,0.95,0.96,0.97,0.68,0.93,0.70,0.56,-0.81,0.58
airline,0.71,-0.88,0.76,0.90,-0.87,0.90,0.89,0.90,0.53,0.95,0.66,0.90,0.89,-0.85,-0.87,0.37
airmail,0.82,0.96,0.58,0.95,0.58,-0.95,-0.92,0.71,-0.70,0.96,0.79,0.80,0.94,0.97,-0.90,0.43
airman,0.65,-0.89,0.50,0.95,0.77,0.97,0.97,0.66,-0.79,0.93,0.68,0.88,0.51,-0.76,0.77,0.42
airplane,0.71,-0.80,0.83,0.94,-0.84,-0.82,-0.86,0.81,-0.89,0.98,0.92,0.92,0.93,0.85,-0.87,0.26
airport,-0.57,-0.92,0.65,0.91,-0.94,-0.93,-0.93,-0.72,-0.81,0.93,0.76,0.95,0.94,-0.87,-0.88,-0.11
airship,0.60,-0.87,0.84,0.94,-0.86,-0.70,-0.73,0.92,-0.69,0.96,0.91,0.91,0.89,-0.62,-0.67,0.19
airspace,0.51,0.72,-0.66,0.56,-0.80,-0.96,-0.96,-0.61,-0.78,0.92,0.57,0.90,0.94,0.93,-0.87,0.09
alarm,0.58,0.97,0.53,0.95,0.54,-0.95,-0.96,0.51,-0.93,0.97,0.79,0.82,0.95,-0.50,-0.84,0.28
alb,0.55,0.60,0.70,0.94,-0.79,0.83,-0.57,0.94,-0.52,0.93,0.64,0.93,0.95,-0.51,0.68,0.46
albatross,0.50,0.70,0.81,0.96,0.68,-0.86,-0.91,0.80,-0.82,0.90,0.83,0.90,0.93,0.93,-0.63,0.43
album,0.93,0.94,0.51,0.96,0.61,-0.96,-0.97,0.76,-0.93,0.98,0.92,0.76,0.93,0.82,-0.87,0.42
alcohol,0.81,0.97,-0.83,0.90,-0.83,-0.96,-0.97,-0.78,-0.84,0.97,0.76,0.87,0.95,0.98,-0.94,0.14
alcove,0.64,0.78,0.72,0.93,-0.92,-0.96,-0.96,0.87,-0.92,0.95,0.82,0.93,0.97,-0.55,-0.62,0.26
alder,0.65,0.55,-0.65,0.96,-0.94,0.94,0.94,0.93,0.93,0.97,-0.54,0.95,0.86,-0.70,0.65,0.44
ale,0.93,0.97,-0.56,0.97,0.92,-0.96,-0.95,-0.60,-0.73,0.98,0.88,0.95,0.96,0.98,-0.83,0.30
alert,0.86,0.98,-0.63,0.95,0.65,-0.96,-0.96,0.65,-0.88,0.98,0.79,0.90,0.92,0.69,-0.88,0.32
alfalfa,0.94,0.95,0.77,0.91,-0.81,-0.90,-0.94,0.53,0.58,0.95,0.77,0.94,0.93,0.96,-0.56,0.49
algebra,0.94,0.98,0.55,0.95,0.50,-0.96,-0.92,0.95,-0.81,0.98,0.78,0.95,0.92,0.97,-0.87,0.45
algorithm,0.89,0.97,0.67,0.95,0.79,-0.60,-0.82,0.96,-0.96,0.98,0.88,0.93,0.97,0.82,-0.84,0.49
alias,0.73,0.94,0.51,0.97,-0.81,-0.94,-0.96,0.51,-0.93,0.98,0.95,0.93,0.97,0.81,-0.82,0.34
alibi,0.79,0.82,-0.52,0.94,-0.94,-0.95,-0.81,-0.68,-0.93,0.95,0.86,0.94,0.96,0.75,-0.86,0.16
alien,-0.57,0.53,0.73,0.95,0.85,0.96,0.95,0.55,-0.95,0.96,0.64,0.84,0.75,-0.54,-0.86,0.35
allegation,0.69,0.97,-0.65,0.95,0.82,-0.96,-0.97,-0.64,-0.95,0.96,0.87,0.84,0.92,0.85,-0.88,0.23
allergist,0.75,-0.72,0.61,0.88,0.89,0.96,0.84,0.79,-0.93,0.96,0.65,0.92,0.95,-0.83,-0.61,0.37
alley,-0.51,-0.58,0.62,0.91,-0.95,-0.96,-0.96,-0.52,-0.87,0.97,0.89,0.95,0.96,0.58,-0.83,0.05
alliance,0.78,0.98,0.69,0.92,-0.51,-0.56,0.95,0.96,0.92,0.97,0.80,0.94,0.93,0.51,-0.80,0.61
alligator,0.63,0.64,0.80,0.96,0.87,0.94,0.87,0.77,-0.51,0.96,0.75,0.93,0.92,0.63,0.51,0.70
allocation,0.79,0.98,-0.74,0.94,-0.91,-0.96,-0.92,0.69,-0.92,0.98,0.80,0.90,0.97,0.88,-0.74,0.26
allowance,0.70,0.98,0.83,0.96,0.57,-0.95,-0.96,-0.56,-0.87,0.98,0.85,0.91,0.95,0.93,-0.87,0.35
alloy,0.72,0.65,0.65,0.94,0.75,-0.95,-0.96,0.73,-0.75,0.98,0.95,0.96,0.93,0.91,-0.86,0.43
alluvium,0.85,0.94,0.77,0.95,-0.54,-0.91,-0.83,0.81,-0.72,0.95,0.79,0.96,0.97,0.92,-0.55,0.44
almanac,0.82,0.76,0.69,0.94,-0.50,-0.96,-0.95,0.64,-0.91,0.98,0.91,0.93,0.96,0.63,-0.86,0.35
almighty,-0.70,-0.76,-0.64,0.53,-0.67,-0.52,0.87,-0.58,-0.58,-0.65,-0.55,0.93,0.93,-0.93,-0.64,-0.28
almond,0.77,-0.54,0.74,0.97,0.74,-0.87,0.66,-0.54,-0.89,0.96,0.88,0.88,0.92,0.90,-0.78,0.33
alpaca,0.60,0.58,0.54,0.95,-0.67,0.84,0.85,0.90,0.89,0.70,0.73,0.93,0.88,0.80,0.81,0.71
alpenglow,0.82,0.97,0.61,0.96,-0.61,0.70,0.67,0.94,0.83,0.95,0.69,0.92,0.93,0.82,-0.60,0.67
alpenhorn,0.77,0.55,0.88,0.95,-0.60,-0.84,-0.55,0.76,-0.88,0.97,0.81,0.93,0.88,-0.72,-0.82,0.27
alpha,-0.71,0.97,-0.60,0.94,0.87,0.96,0.96,0.94,-0.84,0.97,0.62,0.96,0.82,0.92,-0.81,0.43
alphabet,0.80,0.62,0.72,0.95,0.91,-0.93,-0.94,0.86,-0.78,0.98,0.93,0.97,0.96,0.73,-0.84,0.45
altar,0.64,-0.65,0.69,0.95,-0.92,-0.96,-0.93,-0.61,-0.95,0.97,0.91,0.94,0.88,0.90,-0.83,0.14
alteration,0.96,0.98,0.57,0.97,-0.96,-0.96,-0.82,-0.69,-0.73,0.98,0.86,0.90,0.91,0.83,-0.53,0.30
alternative,-0.61,0.91,0.75,0.89,-0.86,-0.93,-0.93,0.76,-0.86,0.95,0.86,0.84,0.96,-0.64,-0.82,0.16
altitude,-0.63,0.69,-0.78,0.76,-0.89,-0.97,-0.96,-0.86,-0.91,0.94,0.70,0.94,0.97,0.78,-0.90,-0.01
alto,0.81,0.86,0.61,0.95,-0.79,0.95,0.67,0.90,-0.58,0.95,0.74,0.95,0.96,0.54,-0.58,0.55
aluminium,0.82,0.68,-0.76,0.92,-0.76,-0.96,-0.95,-0.71,-0.74,0.96,0.77,0.84,0.65,0.97,-0.91,0.12
aluminum,0.73,0.53,-0.86,0.72,-0.73,-0.96,-0.95,-0.74,-0.85,0.96,0.75,0.75,0.90,0.97,-0.92,0.08
amazement,0.94,0.97,-0.65,0.87,0.76,-0.97,-0.96,0.55,-0.86,0.94,0.75,0.91,0.85,0.91,-0.93,0.32
amazon,0.79,0.66,-0.53,0.95,0.79,0.94,0.70,0.91,0.70,0.95,0.72,0.96,0.94,0.79,-0.69,0.63
ambassador,0.63,-0.91,-0.66,0.96,0.94,0.97,0.97,0.63,-0.93,0.97,0.59,0.87,0.63,-0.70,-0.79,0.23
amber,0.82,0.90,-0.63,0.91,-0.54,-0.95,-0.93,0.54,-0.65,0.97,0.79,0.93,0.95,0.97,-0.91,0.28
ambience,0.93,0.97,-0.63,0.80,0.52,-0.97,-0.95,0.55,-0.87,0.97,0.77,0.95,0.90,0.91,-0.91,0.31
ambiguity,0.68,0.97,0.60,0.94,0.85,-0.97,-0.96,-0.73,-0.84,0.97,0.84,0.95,0.97,0.98,-0.84,0.34
ambition,0.63,0.96,0.59,0.95,-0.84,-0.97,-0.96,0.54,-0.89,0.89,0.82,0.95,0.77,0.84,-0.81,0.31
ambulance,0.79,0.70,0.70,0.95,-0.77,-0.61,-0.53,0.85,-0.82,0.98,0.92,0.93,0.91,0.52,-0.70,0.39
amendment,0.84,0.98,0.74,0.96,0.92,-0.96,-0.96,-0.53,-0.92,0.98,0.81,0.84,0.95,0.87,-0.86,0.36
amenity,0.93,0.98,0.78,0.97,-0.74,-0.95,-0.95,0.54,-0.64,0.98,0.89,0.93,0.94,0.89,-0.84,0.40
ammunition,0.91,0.79,-0.81,0.94,0.82,-0.96,-0.97,-0.86,-0.76,0.98,0.80,0.86,0.97,0.98,-0.92,0.22
amnesty,0.89,0.98,0.73,0.96,0.59,-0.96,-0.95,-0.55,-0.83,0.98,0.81,0.94,0.97,0.75,-0.87,0.35
amount,-0.86,-0.62,-0.83,0.89,-0.96,-0.96,-0.95,-0.76,-0.96,0.75,0.92,0.89,0.96,0.89,-0.86,-0.11
amusement,0.93,0.98,0.66,0.91,-0.84,-0.97,-0.93,0.64,-0.85,0.97,0.87,0.95,0.91,0.97,-0.84,0.38
anagram,0.84,0.89,0.64,0.96,0.66,-0.96,-0.89,0.71,-0.91,0.97,0.85,0.89,0.96,0.64,-0.68,0.43
analgesia,0.92,0.98,-0.57,0.95,0.88,-0.96,-0.95,0.54,-0.84,0.98,0.85,0.94,0.97,0.95,-0.67,0.38
analog,0.63,0.95,-0.55,0.94,0.50,0.89,0.96,0.67,-0.91,0.93,0.83,0.95,0.97,-0.59,-0.88,0.39
analogue,0.71,0.90,0.53,0.95,0.80,0.53,0.88,0.53,-0.93,0.97,0.88,0.96,0.96,0.63,-0.84,0.55
analogy,0.91,0.97,0.78,0.95,0.70,-0.94,-0.96,0.64,-0.89,0.98,0.93,0.96,0.96,0.89,-0.80,0.47
analysis,0.97,0.98,-0.70,0.95,0.62,-0.95,-0.96,0.90,-0.96,0.98,0.80,0.96,0.96,0.91,-0.87,0.36
analyst,0.74,-0.76,-0.51,0.94,0.92,0.97,0.96,0.78,-0.93,0.94,0.54,0.87,0.51,-0.64,-0.82,0.25
