noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable,Collective_0,Collective_1,Common_0,Common_1,Count_0,Count_1,Derived_0,Eventive_0,Eventive_1,Mass_0,Mass_1,Pluralia Tantum_0,Pluralia Tantum_1,Singularia Tantum_0,Singularia Tantum_1,Usually Verb_0,Verbalizable_0,Verbalizable_1,Verbalizable_2
abnormality,2.55337498,0.26844218,0.79118139,0.95296350,0.00000000,0.82857361,0.36942858,0.00000000,0.00000000,-0.65721428,0.00000000,0.53688437,0.00000000,0.69190556,0.89045721,0.93565285,0.97027415,0.00000000,0.67713082,0.98001641,0.73885715,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.65721428,0.00000000,0.00000000,0.00000000
abolishment,2.02391425,0.00000000,0.36080736,0.77621073,0.52066499,0.94551179,0.00000000,0.00000000,0.00000000,-0.57928061,0.00000000,0.00000000,0.00000000,0.00000000,0.72161472,0.89555013,0.65687132,0.52066499,0.91275537,0.97826821,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57928061,0.00000000,0.00000000,0.00000000
abortion,1.31181762,0.00000000,0.78538221,0.93587580,0.00000000,0.90041089,0.00000000,0.00000000,0.00000000,-0.59339786,-0.71645343,0.00000000,0.00000000,0.69992977,0.87083465,0.90929723,0.96245438,0.00000000,0.81979066,0.98103112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59339786,0.00000000,0.00000000,-0.71645343
abrogation,2.38578212,0.00000000,0.77874804,0.94081041,0.00000000,0.95856613,0.31255946,0.00000000,0.00000000,-0.60490191,0.00000000,0.00000000,0.00000000,0.71893162,0.83856446,0.91780227,0.96381855,0.00000000,0.93924642,0.97788584,0.62511891,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60490191,0.00000000,0.00000000,0.00000000
absence,0.57292452,0.00000000,0.62972680,0.94622374,0.69458777,0.81334496,0.00000000,0.00000000,0.00000000,-0.59378511,-1.91717362,0.00000000,0.00000000,0.54288673,0.71656686,0.92433852,0.96810895,0.69458777,0.71866131,0.90802860,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59378511,0.00000000,-0.95088160,-0.96629202
abundance,0.01446888,0.00000000,0.32932347,0.95542666,0.00000000,0.78969342,0.46289551,0.00000000,0.00000000,-0.59828806,-1.92458212,0.00000000,0.00000000,0.00000000,0.65864694,0.94241768,0.96843565,0.00000000,0.63072163,0.94866520,0.92579103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59828806,0.00000000,-0.96148473,-0.96309739
abuse,1.32910293,0.25886273,0.31664568,0.90457073,0.00000000,0.95304587,0.46346039,0.00000000,0.00000000,-0.59137964,-0.97610283,0.51772547,0.00000000,0.00000000,0.63329136,0.84372485,0.96541661,0.00000000,0.92774469,0.97834706,0.92692077,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59137964,0.00000000,-0.97610283,0.00000000
academics,-1.94315639,0.48800653,0.00000000,0.00000000,0.00000000,0.82442209,0.45880130,-0.89866358,-0.28871867,-0.62572187,-1.90128219,0.00000000,0.97601306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82620507,0.82263911,0.00000000,0.91760260,-0.90049130,-0.89683586,-0.57743734,0.00000000,-0.62572187,0.00000000,-0.94204181,-0.95924038
academy,2.34935686,0.93114394,0.84767038,0.90305948,0.00000000,0.91899779,0.28130245,0.00000000,0.00000000,-0.57799625,-0.95482093,0.93595636,0.92633152,0.88935196,0.80598879,0.92709780,0.87902117,0.00000000,0.86232376,0.97567183,0.56260490,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57799625,0.00000000,0.00000000,-0.95482093
accelerant,1.15247235,0.39730948,0.89787275,0.95785064,0.00000000,0.92966905,0.47311866,0.00000000,0.00000000,-0.62909764,-1.87425059,0.79461896,0.00000000,0.92346466,0.87228084,0.94902098,0.96668029,0.00000000,0.90221912,0.95711899,0.94623733,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.62909764,-0.90044677,-0.97380382,0.00000000
accelerator,0.39725888,0.79992005,0.88876021,0.94285706,0.00000000,0.70597517,0.00000000,0.00000000,0.00000000,-0.61949706,-2.32075655,0.93333876,0.66650134,0.87936223,0.89815819,0.94882250,0.93689162,0.00000000,0.85667109,0.55527925,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.61949706,-0.55854511,-0.79345322,-0.96875823
accent,0.85546315,0.00000000,0.85834345,0.95361772,0.00000000,0.78970906,0.36694357,0.00000000,0.00000000,-0.62594318,-1.48720747,0.00000000,0.00000000,0.81340796,0.90327895,0.95859945,0.94863600,0.00000000,0.75538772,0.82403040,0.73388714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.62594318,-0.53947657,-0.94773090,0.00000000
acceptance,1.05885437,0.00000000,0.36899337,0.89891538,0.00000000,0.94683585,0.37906128,0.00000000,0.00000000,-0.57970536,-0.95524615,0.00000000,0.00000000,0.00000000,0.73798674,0.92346209,0.87436867,0.00000000,0.91624182,0.97742987,0.75812256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57970536,0.00000000,0.00000000,-0.95524615
access,1.05242056,0.00000000,0.29933462,0.92102754,0.00000000,0.95166430,0.44972378,0.00000000,0.00000000,-0.59002781,-0.97930187,0.00000000,0.00000000,0.00000000,0.59866923,0.92699414,0.91506094,0.00000000,0.92386913,0.97945946,0.89944756,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59002781,0.00000000,-0.97930187,0.00000000
accessory,1.09278947,0.00000000,0.84875005,0.89213338,0.00000000,0.44243392,0.47231734,0.00000000,0.00000000,-0.59342563,-0.96941960,0.00000000,0.00000000,0.75448328,0.94301683,0.89887142,0.88539535,0.00000000,0.88486785,0.00000000,0.94463468,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59342563,0.00000000,0.00000000,-0.96941960
accident,0.97619265,0.00000000,0.71316075,0.89778095,0.00000000,0.91014785,0.00000000,0.00000000,0.00000000,-0.57920283,-0.96569407,0.00000000,0.00000000,0.54811907,0.87820244,0.83186030,0.96370161,0.00000000,0.84220070,0.97809500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57920283,0.00000000,0.00000000,-0.96569407
accommodation,0.10799673,0.00000000,0.44910067,0.81778669,0.00000000,0.87249875,0.47469410,0.00000000,0.00000000,-0.59859806,-1.90748543,0.00000000,0.00000000,0.00000000,0.89820135,0.92366600,0.71190739,0.00000000,0.76784343,0.97715408,0.94938821,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59859806,0.00000000,-0.93805665,-0.96942878
accompanist,0.10121727,0.44602522,0.79647478,0.77054399,0.00000000,0.74127048,0.00000000,-0.30714583,0.00000000,-0.61007899,-1.73587239,0.89205045,0.00000000,0.83840764,0.75454193,0.91100085,0.63008714,0.00000000,0.85516036,0.62738061,0.00000000,0.00000000,-0.61429167,0.00000000,0.00000000,0.00000000,-0.61007899,-0.78192520,-0.95394719,0.00000000
accomplishment,0.41279039,0.27038717,0.40838334,0.90083343,0.00000000,0.93050012,0.42535368,0.00000000,0.00000000,-0.59298277,-1.92968458,0.54077435,0.00000000,0.00000000,0.81676668,0.84655410,0.95511276,0.00000000,0.88407850,0.97692174,0.85070735,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59298277,0.00000000,-0.96219307,-0.96749151
accord,1.40145111,0.42932045,0.80155972,0.90302962,0.00000000,0.87035182,0.00000000,0.00000000,0.00000000,-0.63337576,-0.96943474,0.85864091,0.00000000,0.77646405,0.82665539,0.93211436,0.87394488,0.00000000,0.76265192,0.97805172,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.63337576,0.00000000,0.00000000,-0.96943474
accordance,-1.81808060,0.00000000,0.27986199,0.90725958,0.00000000,0.42763853,0.00000000,-0.25923145,0.00000000,-0.63006830,-2.54354095,0.00000000,0.00000000,0.00000000,0.55972397,0.86547232,0.94904685,0.00000000,0.00000000,0.85527706,0.00000000,0.00000000,-0.51846290,0.00000000,0.00000000,0.00000000,-0.63006830,-0.63950610,-0.94090211,-0.96313274
accordion,2.06113386,0.41663057,0.88632223,0.89526641,0.00000000,0.75196326,0.42588326,0.00000000,0.00000000,-0.58239269,-0.73253918,0.83326113,0.00000000,0.91233474,0.86030972,0.88225216,0.90828067,0.00000000,0.80762774,0.69629878,0.85176653,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.58239269,0.00000000,0.00000000,-0.73253918
account,1.83378735,0.35503224,0.75045171,0.92031237,0.00000000,0.95446616,0.40485185,0.00000000,0.00000000,-0.60688800,-0.94443899,0.71006447,0.00000000,0.57154423,0.92935920,0.89631975,0.94430500,0.00000000,0.93593711,0.97299522,0.80970371,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60688800,0.00000000,0.00000000,-0.94443899
accountability,0.43236271,0.27948558,0.29659036,0.94450256,0.00000000,0.86520690,0.46482936,0.00000000,0.00000000,-0.57188672,-1.84636533,0.55897117,0.00000000,0.00000000,0.59318072,0.92547143,0.96353370,0.00000000,0.76090825,0.96950555,0.92965871,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57188672,0.00000000,-0.88617092,-0.96019441
accountant,0.94207859,0.36673573,0.74142203,0.73200619,0.00000000,0.36872101,0.35251206,-0.25601548,0.00000000,-0.56664705,-0.79665589,0.73347145,0.00000000,0.79437727,0.68846679,0.94728857,0.51672381,0.00000000,0.73744202,0.00000000,0.70502412,0.00000000,-0.51203096,0.00000000,0.00000000,0.00000000,-0.56664705,0.00000000,0.00000000,-0.79665589
accounting,0.30160707,0.00000000,0.40159369,0.92234716,0.00000000,0.96863794,0.47989783,0.00000000,0.00000000,-0.57284886,-1.89802068,0.00000000,0.00000000,0.00000000,0.80318737,0.91660714,0.92808717,0.00000000,0.95461667,0.98265922,0.95979565,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57284886,0.00000000,-0.93953854,-0.95848215
accuracy,-0.52075887,0.00000000,0.27207994,0.95423746,0.00000000,0.61348903,0.40904638,-0.27497402,0.00000000,-0.59708399,-1.89755368,0.00000000,0.00000000,0.00000000,0.54415989,0.93981391,0.96866101,0.00000000,0.52043068,0.70654738,0.81809276,0.00000000,-0.54994804,0.00000000,0.00000000,0.00000000,-0.59708399,0.00000000,-0.93438089,-0.96317279
accusation,0.49231020,0.00000000,0.77336508,0.90560853,0.00000000,0.86765003,0.44294277,0.00000000,0.00000000,-0.59431893,-1.90293729,0.00000000,0.00000000,0.72078741,0.82594275,0.87560648,0.93561059,0.00000000,0.76065648,0.97464359,0.88588554,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59431893,0.00000000,-0.94353467,-0.95940262
acetate,0.51751751,0.00000000,0.69210008,0.93767363,0.00000000,0.91368496,0.48608646,0.00000000,0.00000000,-0.59731269,-1.91471493,0.00000000,0.00000000,0.57648230,0.80771786,0.92981309,0.94553417,0.00000000,0.85858434,0.96878558,0.97217292,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59731269,-0.94398737,-0.97072756,0.00000000
achievement,0.50863370,0.00000000,0.75238207,0.92159304,0.00000000,0.93105093,0.41201305,0.00000000,0.00000000,-0.58197087,-1.92643452,0.00000000,0.00000000,0.64202595,0.86273819,0.87993586,0.96325022,0.00000000,0.88523221,0.97686964,0.82402611,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.58197087,0.00000000,-0.95901018,-0.96742433
achiever,1.33806148,0.35454959,0.62254986,0.84957805,0.00000000,0.36087105,0.00000000,-0.25089699,0.00000000,-0.59859008,0.00000000,0.70909917,0.00000000,0.60760164,0.63749808,0.93702549,0.76213062,0.00000000,0.72174209,0.00000000,0.00000000,0.00000000,-0.50179398,0.00000000,0.00000000,0.00000000,-0.59859008,0.00000000,0.00000000,0.00000000
acid,0.00985008,0.00000000,0.77579337,0.96420273,0.00000000,0.93401581,0.48984292,0.00000000,0.00000000,-0.62848353,-2.52552122,0.00000000,0.00000000,0.72257298,0.82901376,0.95977885,0.96862662,0.00000000,0.89813656,0.96989506,0.97968584,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.62848353,-0.60830802,-0.97018695,-0.94702625
acknowledgment,-0.01248530,0.00000000,0.74519670,0.92489547,0.00000000,0.94489351,0.46112353,0.00000000,0.00000000,-0.59619063,-2.49240386,0.00000000,0.00000000,0.70455623,0.78583717,0.94467753,0.90511340,0.00000000,0.91852564,0.97126138,0.92224705,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59619063,-0.58110225,-0.94459969,-0.96670192
acorn,1.25560689,0.00000000,0.82437217,0.91116738,0.00000000,0.67223954,0.39570355,0.00000000,0.00000000,-0.57870871,-0.96916705,0.00000000,0.00000000,0.76896799,0.87977636,0.92065734,0.90167743,0.00000000,0.70764273,0.63683635,0.79140711,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57870871,0.00000000,-0.96916705,0.00000000
acoustics,0.91137236,0.29583949,0.29226232,0.00000000,0.00000000,0.94808677,0.26331797,-0.30750364,0.00000000,-0.58063054,0.00000000,0.00000000,0.59167898,0.00000000,0.58452463,0.00000000,0.00000000,0.00000000,0.92927778,0.96689576,0.00000000,0.52663594,-0.61500728,0.00000000,0.00000000,0.00000000,-0.58063054,0.00000000,0.00000000,0.00000000
acquaintance,0.69355577,0.46052837,0.72326711,0.82170650,0.00000000,0.84796736,0.31243870,0.00000000,0.00000000,-0.55505335,-1.91729891,0.92105675,0.00000000,0.69193465,0.75459957,0.80481601,0.83859700,0.00000000,0.73008639,0.96584833,0.62487739,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.55505335,0.00000000,-0.95641947,-0.96087945
acquisition,1.00783122,0.00000000,0.73544118,0.87244526,0.00000000,0.96546489,0.00000000,0.00000000,0.00000000,-0.60142112,-0.96409899,0.00000000,0.00000000,0.59090978,0.87997258,0.89946330,0.84542722,0.00000000,0.94966590,0.98126388,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60142112,0.00000000,0.00000000,-0.96409899
acre,-0.55632800,0.00000000,0.68664265,0.87176779,0.00000000,0.00000000,0.41660896,0.00000000,0.00000000,-0.59770155,-1.93364584,0.00000000,0.00000000,0.60350704,0.76977825,0.83765209,0.90588349,0.00000000,0.00000000,0.00000000,0.83321792,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59770155,0.00000000,-0.96800113,-0.96564472
acrylic,0.04733515,0.00000000,0.39779589,0.94008130,0.00000000,0.74699003,0.48420820,0.00000000,0.00000000,-0.62414253,-1.89759773,0.00000000,0.00000000,0.00000000,0.79559177,0.95418143,0.92598116,0.00000000,0.73314488,0.76083517,0.96841639,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.62414253,0.00000000,-0.93154144,-0.96605629
act,1.61432245,0.43280748,0.86445200,0.91760150,0.00000000,0.94793877,0.00000000,0.00000000,0.00000000,-0.59139371,-0.95708358,0.86561495,0.00000000,0.87878489,0.85011911,0.87438023,0.96082276,0.00000000,0.92077535,0.97510219,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59139371,-0.95708358,0.00000000,0.00000000
action,1.89742231,0.34816939,0.76739413,0.95599535,0.00000000,0.95025256,0.42779791,0.00000000,0.00000000,-0.58512515,-0.96706188,0.69633877,0.00000000,0.76953876,0.76524949,0.94859248,0.96339822,0.00000000,0.92408735,0.97641778,0.85559583,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.58512515,0.00000000,0.00000000,-0.96706188
activation,0.78429961,0.35652047,0.40485388,0.92300215,0.00000000,0.97058955,0.45262003,0.00000000,0.00000000,-0.61247182,-1.71081465,0.71304095,0.00000000,0.00000000,0.80970776,0.87940836,0.96659595,0.00000000,0.95728409,0.98389500,0.90524006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.61247182,0.00000000,-0.75028569,-0.96052897
activist,-0.10942465,0.42588139,0.54819125,0.70872495,0.00000000,0.29822347,0.00000000,-0.32131442,-0.25885800,-0.58956259,-0.92071068,0.85176277,0.00000000,0.50879592,0.58758658,0.83927315,0.57817674,0.00000000,0.59644693,0.00000000,0.00000000,0.00000000,-0.64262885,0.00000000,-0.51771599,0.00000000,-0.58956259,0.00000000,0.00000000,-0.92071068
activity,0.65188965,0.45728007,0.35926527,0.94372904,0.00000000,0.96652874,0.47159186,0.00000000,0.00000000,-0.62108111,-1.92542422,0.91456014,0.00000000,0.00000000,0.71853054,0.92471862,0.96273947,0.00000000,0.95089024,0.98216724,0.94318372,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.62108111,0.00000000,-0.95820481,-0.96721941
actor,0.17182514,0.00000000,0.29077059,0.71560347,0.00000000,0.34540209,0.34299970,0.00000000,0.00000000,-0.58251888,-0.94043183,0.00000000,0.00000000,0.00000000,0.58154118,0.79955637,0.63165057,0.00000000,0.69080418,0.00000000,0.68599939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.58251888,0.00000000,0.00000000,-0.94043183
actress,-1.25792870,0.00000000,0.29158744,0.76317033,0.00000000,0.33263978,0.33258456,-0.51422071,0.00000000,-0.55518401,-1.90850610,0.00000000,0.00000000,0.00000000,0.58317488,0.77845466,0.74788600,0.00000000,0.66527957,0.00000000,0.66516912,0.00000000,-0.51281476,-0.51562667,0.00000000,0.00000000,-0.55518401,0.00000000,-0.95132715,-0.95717895
acupuncture,1.25904781,0.00000000,0.35475528,0.73816401,0.00000000,0.95303270,0.44639513,0.00000000,0.00000000,-0.60874170,-0.62455761,0.00000000,0.00000000,0.00000000,0.70951056,0.66447544,0.81185257,0.00000000,0.93098056,0.97508484,0.89279026,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60874170,0.00000000,0.00000000,-0.62455761
ad,0.63881633,0.00000000,0.78429094,0.91124332,0.00000000,0.86226285,0.36974680,0.00000000,0.00000000,-0.66652304,-1.62220454,0.00000000,0.00000000,0.65249485,0.91608703,0.88944685,0.93303978,0.00000000,0.77221543,0.95231026,0.73949361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.66652304,0.00000000,-0.80946958,-0.81273496
adaptation,0.61296570,0.00000000,0.80633891,0.94965589,0.00000000,0.97189745,0.33320352,0.00000000,0.00000000,-0.64047724,-1.80765283,0.00000000,0.00000000,0.66781366,0.94486415,0.95107573,0.94823605,0.00000000,0.96486682,0.97892809,0.66640705,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.64047724,0.00000000,-0.84215415,-0.96549869
adapter,1.73972002,0.40267617,0.89998683,0.93554699,0.00000000,0.71451429,0.36246279,0.00000000,0.00000000,-0.61391807,-0.96154898,0.80535233,0.00000000,0.84919447,0.95077920,0.92443591,0.94665807,0.00000000,0.77954888,0.64947969,0.72492558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.61391807,0.00000000,0.00000000,-0.96154898
addiction,0.73045421,0.29395607,0.71136543,0.95883730,0.00000000,0.87699458,0.39106399,0.00000000,0.00000000,-0.58168238,-1.92008078,0.58791214,0.00000000,0.53899688,0.88373399,0.95638669,0.96128792,0.00000000,0.77348000,0.98050916,0.78212798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.58168238,0.00000000,-0.95477563,-0.96530515
addition,0.45238483,0.36867467,0.75579455,0.92600727,0.00000000,0.94763631,0.00000000,0.00000000,0.00000000,-0.63915598,-1.90657198,0.73734933,0.00000000,0.71484321,0.79674590,0.90575421,0.94626033,0.00000000,0.91483802,0.98043460,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.63915598,0.00000000,-0.94142288,-0.96514910
address,1.28609684,0.35739997,0.76683947,0.93873757,0.00000000,0.31931305,0.45789674,0.00000000,0.00000000,-0.57777280,-0.97631717,0.71479994,0.00000000,0.62253720,0.91114175,0.91168088,0.96579427,0.00000000,0.00000000,0.63862610,0.91579348,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57777280,0.00000000,-0.97631717,0.00000000
adjective,0.72707096,0.33038712,0.85624790,0.96284264,0.00000000,0.54002121,0.47755653,0.00000000,0.00000000,-0.53491604,-1.90506840,0.66077423,0.00000000,0.76513094,0.94736487,0.96813858,0.95754671,0.00000000,0.57148933,0.50855309,0.95511305,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.53491604,0.00000000,-0.94076037,-0.96430802
adjustment,0.53501624,0.00000000,0.79633203,0.88450399,0.00000000,0.97728607,0.38709995,0.00000000,0.00000000,-0.59939539,-1.91081041,0.00000000,0.00000000,0.69010496,0.90255910,0.92968428,0.83932370,0.00000000,0.97324592,0.98132622,0.77419990,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59939539,0.00000000,-0.94388074,-0.96692967
admin,-0.44718739,0.79912284,0.64190051,0.82027999,0.00000000,0.67504740,0.00000000,0.00000000,0.00000000,-0.60460722,-2.77893090,0.93487549,0.66337019,0.70710266,0.57669836,0.82823449,0.81232548,0.00000000,0.66613567,0.68395913,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60460722,-0.90515208,-0.97336435,-0.90041447
administration,-0.54950333,0.77698320,0.00000000,0.78148773,0.00000000,0.35112604,0.00000000,0.00000000,0.00000000,-0.60397655,-1.85512376,0.89525020,0.65871620,0.00000000,0.00000000,0.89632446,0.66665101,0.00000000,0.70225209,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.60397655,0.00000000,-0.88789517,-0.96722859
administrator,-0.60745808,0.40150902,0.61069092,0.72976890,0.00000000,0.29674348,0.00000000,-0.28867373,0.00000000,-0.58810562,-1.76939106,0.80301803,0.00000000,0.69563067,0.52575117,0.83917761,0.62036020,0.00000000,0.59348696,0.00000000,0.00000000,0.00000000,-0.57734746,0.00000000,0.00000000,0.00000000,-0.58810562,0.00000000,-0.80300319,-0.96638787
admire,-1.45892051,0.00000000,0.00000000,0.75187543,0.00000000,0.00000000,0.00000000,-0.69593555,0.00000000,-0.54425293,-0.97060746,0.00000000,0.00000000,0.00000000,0.00000000,0.68704391,0.81670696,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.71930271,-0.67256838,0.00000000,0.00000000,-0.54425293,0.00000000,-0.97060746,0.00000000
admission,-0.29966933,0.00000000,0.37427267,0.89009252,0.00000000,0.94485915,0.00000000,0.00000000,0.00000000,-0.59646773,-1.91242594,0.00000000,0.00000000,0.00000000,0.74854535,0.93002504,0.85016000,0.00000000,0.91433197,0.97538632,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.59646773,0.00000000,-0.94755858,-0.96486735
adobe,0.30753419,0.37108350,0.57327625,0.90995497,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57709879,-0.96968174,0.74216700,0.00000000,0.58337104,0.56318146,0.89048225,0.92942768,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.57709879,0.00000000,-0.96968174,0.00000000
