noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable
hybridization,2.71043566,0.40219358,0.87557417,0.95919326,0.00000000,0.96430710,0.42591971,0.00000000,0.00000000,-0.91675216,0.00000000
geology,2.69711995,0.36555922,0.87078765,0.96234107,0.00000000,0.94953820,0.47706974,0.00000000,0.00000000,-0.92817593,0.00000000
concept,2.69661218,0.37830883,0.92899349,0.96007153,0.00000000,0.95692921,0.43296462,0.00000000,0.00000000,0.00000000,-0.96065551
dahlia,2.69544947,0.88596874,0.73126134,0.94997323,0.00000000,0.87681466,0.86036757,0.00000000,0.00000000,-0.96314657,-0.64578950
pride,2.69522175,0.62742656,0.80086964,0.94893357,0.00000000,0.82261080,0.47336686,0.00000000,0.00000000,-0.97798568,0.00000000
sustainment,2.69481051,0.41395983,0.91456521,0.93919894,0.00000000,0.96337694,0.44925213,0.00000000,0.00000000,-0.98554254,0.00000000
patrimony,2.68820041,0.44285664,0.86100671,0.94959277,0.00000000,0.93938157,0.45870855,0.00000000,0.00000000,-0.96334583,0.00000000
litmus,2.68776798,0.34654939,0.94354284,0.92927393,0.00000000,0.92550486,0.45808509,0.00000000,0.00000000,-0.91518813,0.00000000
interchange,2.68715793,0.42893788,0.94134131,0.95955291,0.00000000,0.96571401,0.35762274,0.00000000,0.00000000,-0.96601093,0.00000000
euphonium,2.68656263,0.43404061,0.88315719,0.93900931,0.00000000,0.94590265,0.44945464,0.00000000,0.00000000,-0.96500176,0.00000000
oasis,2.68603677,0.26295403,0.86466295,0.93072313,0.00000000,0.84393659,0.75691509,0.00000000,0.00000000,-0.97315502,0.00000000
okra,2.68538341,0.87574443,0.85976872,0.95698380,0.00000000,0.85230812,0.79334170,0.00000000,0.00000000,-0.95296484,-0.69979852
drudgery,2.68194520,0.35636976,0.88329685,0.93139791,0.00000000,0.95830587,0.43151796,0.00000000,0.00000000,-0.87894315,0.00000000
gynaecology,2.68017694,0.43638241,0.78666669,0.96058527,0.00000000,0.93494177,0.44926357,0.00000000,0.00000000,-0.88766277,0.00000000
interconnection,2.68002000,0.43739143,0.90909901,0.95874137,0.00000000,0.96349481,0.34901398,0.00000000,0.00000000,-0.93772060,0.00000000
ambience,2.67693746,0.27323252,0.87274018,0.92665976,0.00000000,0.94804230,0.45298481,0.00000000,0.00000000,-0.79672211,0.00000000
credenza,2.67643034,0.37338257,0.88985547,0.96499845,0.00000000,0.92999360,0.47811642,0.00000000,0.00000000,-0.95991617,0.00000000
underwriting,2.67442194,0.36446205,0.88816565,0.89734143,0.00000000,0.97277829,0.47945401,0.00000000,0.00000000,-0.92777950,0.00000000
analgesia,2.67279190,0.27056572,0.91262066,0.95177564,0.00000000,0.95172107,0.47264689,0.00000000,0.00000000,-0.88653809,0.00000000
listing,2.66884342,0.45764086,0.93341145,0.93064600,0.00000000,0.94855574,0.34649724,0.00000000,0.00000000,-0.94790787,0.00000000
hyphenation,2.66767702,0.00000000,0.88834068,0.95766914,0.00000000,0.93613064,0.45195776,0.00000000,0.00000000,-0.56642121,0.00000000
tortellini,2.66477847,0.74983034,0.38849005,0.88969874,0.00000000,0.81265026,0.76368916,0.00000000,0.00000000,-0.93958008,0.00000000
void,2.66053805,0.00000000,0.83247101,0.95418376,0.91816413,0.46367425,0.45819703,0.00000000,0.00000000,0.00000000,-0.96615213
appellation,2.65308759,0.41212192,0.92992440,0.95912400,0.00000000,0.91575682,0.36775845,0.00000000,0.00000000,-0.93159801,0.00000000
comportment,2.64815217,0.42243034,0.90636459,0.92300498,0.00000000,0.92302638,0.44746354,0.00000000,0.00000000,-0.97413766,0.00000000
itinerary,2.64802530,0.28447700,0.95402628,0.92698801,0.00000000,0.96099097,0.41930267,0.00000000,0.00000000,-0.89775962,0.00000000
pest,2.64679563,0.43616623,0.93406332,0.95024401,0.00000000,0.83589080,0.46100387,0.00000000,0.00000000,-0.97057259,0.00000000
proposition,2.64650479,0.28068802,0.94761020,0.94945088,0.00000000,0.92220956,0.42728618,0.00000000,0.00000000,-0.88074005,0.00000000
splendor,2.64462188,0.31947041,0.89137006,0.94684911,0.00000000,0.95823511,0.47899765,0.00000000,0.00000000,-0.95030046,0.00000000
tomography,2.64242268,0.29553056,0.87093395,0.93217260,0.00000000,0.95910558,0.48452821,0.00000000,0.00000000,-0.89984822,0.00000000
bandolier,2.64107016,0.75097030,0.83398819,0.81457546,0.00000000,0.87112871,0.34771422,0.00000000,0.00000000,-0.97730672,0.00000000
pinafore,2.64073831,0.28774974,0.91620299,0.90250751,0.00000000,0.76954263,0.72884986,0.00000000,0.00000000,-0.96411443,0.00000000
gelding,2.63963512,0.76282534,0.89227024,0.92985117,0.00000000,0.94355735,0.75049728,0.00000000,0.00000000,-0.96508723,-0.67427903
shearling,2.63911071,0.43954346,0.80629158,0.91463014,0.00000000,0.91828737,0.48376745,0.00000000,0.00000000,-0.92340928,0.00000000
recording,2.63577974,0.33322307,0.90779907,0.90704846,0.00000000,0.96901807,0.47760850,0.00000000,0.00000000,-0.95891744,0.00000000
begonia,2.63342854,0.91042003,0.76824552,0.92117265,0.00000000,0.83226144,0.69955882,0.00000000,0.00000000,-0.94738173,-0.55084819
antling,2.62911579,0.41101253,0.84249306,0.89559990,0.00000000,0.92668098,0.48011503,0.00000000,0.00000000,-0.92678571,0.00000000
attenuation,2.62624684,0.27570701,0.89620283,0.94553980,0.00000000,0.95333126,0.44820046,0.00000000,0.00000000,-0.89273453,0.00000000
derivation,2.62458229,0.31597713,0.91852102,0.94065672,0.00000000,0.96489063,0.44038466,0.00000000,0.00000000,-0.95584786,0.00000000
confectionery,2.62449905,0.37991768,0.90044859,0.89883432,0.00000000,0.93353531,0.48501247,0.00000000,0.00000000,-0.97324932,0.00000000
teriyaki,2.62296438,0.90200996,0.83337006,0.91833320,0.00000000,0.93911457,0.81285000,0.00000000,0.00000000,-0.95260251,-0.83011091
bottling,2.62241521,0.31758919,0.89621952,0.93593144,0.00000000,0.97080025,0.48418468,0.00000000,0.00000000,-0.98230988,0.00000000
phrasing,2.62220231,0.25104564,0.92630115,0.93856105,0.00000000,0.94362140,0.47764871,0.00000000,0.00000000,-0.91497564,0.00000000
recapitulation,2.62108496,0.39164543,0.90465707,0.87412614,0.00000000,0.96542692,0.45882222,0.00000000,0.00000000,-0.97359282,0.00000000
registry,2.62005943,0.47825193,0.91464055,0.92989188,0.00000000,0.83104974,0.38183028,0.00000000,0.00000000,-0.91560495,0.00000000
keyboarding,2.61788732,0.35423866,0.88952112,0.84402448,0.00000000,0.97175130,0.47129941,0.00000000,0.00000000,-0.91294765,0.00000000
belligerency,2.61784104,0.43572423,0.81820700,0.93489462,0.00000000,0.92458543,0.38254952,0.00000000,0.00000000,-0.87811977,0.00000000
declination,2.61153862,0.42146310,0.89769262,0.92534202,0.00000000,0.96018335,0.38477597,0.00000000,0.00000000,-0.97791845,0.00000000
gigantism,2.61122119,0.42455289,0.83848596,0.95626935,0.00000000,0.86005500,0.44665501,0.00000000,0.00000000,-0.91479701,0.00000000
sinuosity,2.61012435,0.35108632,0.83737934,0.95163685,0.00000000,0.91761369,0.46848118,0.00000000,0.00000000,-0.91607302,0.00000000
commotion,2.60841322,0.40730289,0.90235147,0.89144129,0.00000000,0.96244195,0.42984375,0.00000000,0.00000000,-0.98496813,0.00000000
servitude,2.60543260,0.39503509,0.84984037,0.95732316,0.00000000,0.91754541,0.44976300,0.00000000,0.00000000,-0.96407443,0.00000000
incubation,2.60211369,0.39658362,0.87485105,0.92394093,0.00000000,0.93931863,0.44457290,0.00000000,0.00000000,-0.97715342,0.00000000
ultimatum,2.60134861,0.33278489,0.89848840,0.93656766,0.00000000,0.87926450,0.30836397,0.00000000,0.00000000,-0.75412083,0.00000000
crystallography,2.59675914,0.29159385,0.87477222,0.92669296,0.00000000,0.96528026,0.47275740,0.00000000,0.00000000,-0.93433756,0.00000000
appetizer,2.59613976,0.29516712,0.96136504,0.89316586,0.00000000,0.95039803,0.45881334,0.00000000,0.00000000,-0.96276963,0.00000000
forgery,2.59329194,0.25974795,0.89450097,0.93287414,0.00000000,0.92566252,0.45787331,0.00000000,0.00000000,-0.87736696,0.00000000
randomization,2.58979595,0.30482370,0.86433995,0.94845694,0.00000000,0.93942308,0.43287599,0.00000000,0.00000000,-0.90012372,0.00000000
decadence,2.58944678,0.32815385,0.83407056,0.92686597,0.00000000,0.93989563,0.44659337,0.00000000,0.00000000,-0.88613260,0.00000000
drawing,2.58723649,0.32444337,0.94636297,0.88610181,0.00000000,0.93758550,0.46507305,0.00000000,0.00000000,-0.97233021,0.00000000
opera,2.58718956,0.30159318,0.93828955,0.93705121,0.00000000,0.92870221,0.47191450,0.00000000,0.00000000,-0.99036109,0.00000000
randomisation,2.58701715,0.27752680,0.87279600,0.95726576,0.00000000,0.95033279,0.43248978,0.00000000,0.00000000,-0.90339398,0.00000000
vestment,2.58150885,0.41879535,0.90564609,0.90958041,0.00000000,0.84136474,0.45502791,0.00000000,0.00000000,-0.94890565,0.00000000
morbidity,2.58092386,0.26677018,0.87829235,0.96569899,0.00000000,0.87415633,0.41947213,0.00000000,0.00000000,-0.82346612,0.00000000
collectivization,2.57959825,0.45072460,0.83514047,0.94149810,0.00000000,0.94325054,0.33199066,0.00000000,0.00000000,-0.92300612,0.00000000
laryngitis,2.57618243,0.25434721,0.66892490,0.93377987,0.00000000,0.93619964,0.71897271,0.00000000,0.00000000,-0.93604189,0.00000000
objective,2.57603186,0.25578687,0.86477831,0.96132731,0.63590699,0.46073329,0.35594594,0.00000000,0.00000000,0.00000000,-0.95844686
osmosis,2.57434350,0.34745082,0.84349772,0.94883543,0.00000000,0.93728688,0.45410004,0.00000000,0.00000000,-0.95682740,0.00000000
consignment,2.57059559,0.31925672,0.94256762,0.92613232,0.00000000,0.93521041,0.38097185,0.00000000,0.00000000,-0.93354332,0.00000000
testing,2.57050541,0.35043442,0.80743027,0.87061709,0.00000000,0.96949583,0.47826025,0.00000000,0.00000000,-0.90573245,0.00000000
interest,2.56904465,0.39001825,0.81477797,0.95111308,0.00000000,0.89721209,0.47148269,0.00000000,0.00000000,-0.95555943,0.00000000
atelier,2.56867000,0.47113803,0.88291696,0.94134107,0.00000000,0.87977740,0.33458832,0.00000000,0.00000000,-0.94109178,0.00000000
authorisation,2.56837392,0.29793206,0.85897163,0.94612899,0.00000000,0.96139500,0.46506083,0.00000000,0.00000000,-0.96111459,0.00000000
decryption,2.56641376,0.28314742,0.90039262,0.85454971,0.00000000,0.95935476,0.41852295,0.00000000,0.00000000,-0.84955370,0.00000000
larva,2.56604227,0.94921505,0.85036856,0.94893843,0.00000000,0.90858743,0.80999476,0.00000000,0.00000000,-0.95919460,-0.94186735
parenthesis,2.56552109,0.27439836,0.89435601,0.94467762,0.00000000,0.84017226,0.47046798,0.00000000,0.00000000,-0.85855114,0.00000000
mailing,2.56410307,0.33746594,0.91458023,0.88130581,0.00000000,0.93080145,0.47467530,0.00000000,0.00000000,-0.97472566,0.00000000
appetiser,2.56406605,0.34579208,0.96315560,0.91731670,0.00000000,0.91788357,0.39236358,0.00000000,0.00000000,-0.97244549,0.00000000
contagion,2.56036329,0.36539662,0.88748926,0.95758247,0.00000000,0.91930112,0.39607355,0.00000000,0.00000000,-0.96547973,0.00000000
deviance,2.55999240,0.39389580,0.85780108,0.93898150,0.00000000,0.94325334,0.35588270,0.00000000,0.00000000,-0.92982203,0.00000000
rheumatism,2.55722484,0.43624651,0.76464722,0.90566397,0.00000000,0.94979012,0.42827618,0.00000000,0.00000000,-0.92739916,0.00000000
advice,2.55399400,0.26314947,0.87087080,0.95385349,0.00000000,0.92614797,0.48564908,0.00000000,0.00000000,-0.94567680,0.00000000
monotheism,2.55126652,0.45329508,0.79877597,0.95016247,0.00000000,0.83177990,0.42190623,0.00000000,0.00000000,-0.90465313,0.00000000
monasticism,2.54936922,0.43344861,0.81677657,0.94851750,0.00000000,0.88584739,0.38622868,0.00000000,0.00000000,-0.92144954,0.00000000
complaint,2.54934990,0.39841002,0.91430181,0.86581418,0.00000000,0.90926984,0.43069261,0.00000000,0.00000000,-0.96913856,0.00000000
coevolution,2.54853567,0.39502341,0.78173384,0.95106462,0.00000000,0.94508365,0.39498401,0.00000000,0.00000000,-0.91935384,0.00000000
sensibility,2.54778245,0.33318093,0.88228932,0.86484635,0.00000000,0.93970755,0.46126765,0.00000000,0.00000000,-0.93350935,0.00000000
stepping-stone,2.54591250,0.41178375,0.91718712,0.92418095,0.00000000,0.76102611,0.44658092,0.00000000,0.00000000,-0.91484636,0.00000000
illustration,2.54351261,0.34575355,0.95236811,0.83535683,0.00000000,0.92161548,0.45568502,0.00000000,0.00000000,0.00000000,-0.96726638
iridescence,2.54130509,0.34082568,0.84975797,0.91734079,0.00000000,0.90711895,0.45003596,0.00000000,0.00000000,-0.92377424,0.00000000
frosting,2.54082677,0.27469283,0.90342027,0.90260741,0.00000000,0.95415622,0.49045265,0.00000000,0.00000000,-0.98450261,0.00000000
sailing,2.53910547,0.30215558,0.88449532,0.91192093,0.00000000,0.96891320,0.46007556,0.00000000,0.00000000,-0.98845512,0.00000000
leeway,2.53466466,0.29378048,0.84468269,0.95997792,0.00000000,0.87549347,0.48327899,0.00000000,0.00000000,-0.92254889,0.00000000
nectar,2.53432155,0.25498641,0.88637966,0.92638919,0.00000000,0.92009848,0.48690185,0.00000000,0.00000000,-0.94043404,0.00000000
oncology,2.53204653,0.45608240,0.84265739,0.96045318,0.00000000,0.88628760,0.36053303,0.00000000,0.00000000,-0.97396708,0.00000000
standardisation,2.53056192,0.29270023,0.85386997,0.96194834,0.00000000,0.94824117,0.39391965,0.00000000,0.00000000,-0.92011744,0.00000000
overview,2.53050449,0.37329257,0.88769233,0.92343906,0.00000000,0.87393680,0.41085061,0.00000000,0.00000000,-0.93870687,0.00000000
offering,2.52854577,0.31991485,0.92955026,0.89402616,0.00000000,0.94389153,0.42569211,0.00000000,0.00000000,-0.98452914,0.00000000
collectivisation,2.52833560,0.46523353,0.81269452,0.95382622,0.00000000,0.93146402,0.30513775,0.00000000,0.00000000,-0.94002044,0.00000000
testimonial,2.52830881,0.28694436,0.93592232,0.88352990,0.00000000,0.94624943,0.41413155,0.00000000,0.00000000,-0.93846875,0.00000000
overclocking,2.52601999,0.27092433,0.92339548,0.85181934,0.00000000,0.97298831,0.46133807,0.00000000,0.00000000,-0.95444554,0.00000000
parable,2.52528846,0.30771673,0.93523622,0.94001371,0.00000000,0.92517000,0.37022871,0.00000000,0.00000000,-0.95307690,0.00000000
corporatism,2.52239567,0.42126673,0.78107530,0.95491764,0.00000000,0.87531993,0.45902723,0.00000000,0.00000000,-0.96921116,0.00000000
insolence,2.52017885,0.31069443,0.86061415,0.94084159,0.00000000,0.85406083,0.40928695,0.00000000,0.00000000,-0.85531908,0.00000000
satire,2.51646370,0.28328246,0.91694826,0.81791925,0.00000000,0.95711681,0.47730020,0.00000000,0.00000000,0.00000000,-0.93610328
training,2.51511070,0.28732210,0.85615423,0.88629350,0.00000000,0.96346328,0.47654432,0.00000000,0.00000000,-0.95466673,0.00000000
astrakhan,2.51083997,0.86481044,0.73661676,0.92281529,0.00000000,0.91100496,0.00000000,0.00000000,0.00000000,-0.92440748,0.00000000
ordination,2.50909665,0.43344870,0.83616191,0.90669927,0.00000000,0.95819309,0.28956914,0.00000000,0.00000000,-0.91497546,0.00000000
disconnection,2.50830519,0.29555053,0.83959493,0.93698511,0.00000000,0.94649169,0.39164594,0.00000000,0.00000000,-0.90196300,0.00000000
job,2.50767201,0.28011426,0.87171924,0.93050706,0.00000000,0.93858930,0.46206826,0.00000000,0.00000000,-0.97532612,0.00000000
serial,2.50429827,0.44029537,0.90275222,0.94854105,0.00000000,0.85676375,0.30062765,0.00000000,0.00000000,-0.94468176,0.00000000
uniformity,2.50380370,0.31478715,0.85783204,0.94634023,0.00000000,0.89107895,0.41138962,0.00000000,0.00000000,-0.91762429,0.00000000
evocation,2.49762681,0.30905038,0.88497600,0.94788447,0.00000000,0.95516321,0.39009285,0.00000000,0.00000000,-0.98954010,0.00000000
meteorology,2.49747509,0.34044603,0.76372883,0.95986637,0.00000000,0.92581841,0.46056461,0.00000000,0.00000000,-0.95294917,0.00000000
exclamation,2.49717194,0.25669727,0.91840956,0.94503337,0.00000000,0.93553245,0.42952400,0.00000000,0.00000000,-0.98802471,0.00000000
fascia,2.49443188,0.78295353,0.89752990,0.96308535,0.00000000,0.93826076,0.48077640,0.00000000,0.00000000,-0.97860199,-0.58957207
automaton,2.49373043,0.77148286,0.84678623,0.92856693,0.00000000,0.77604243,0.72242221,0.00000000,0.00000000,-0.60602307,-0.94554716
cirrhosis,2.49349129,0.37660962,0.77311611,0.94993594,0.00000000,0.93175197,0.35396877,0.00000000,0.00000000,-0.89189112,0.00000000
thrill,2.49336264,0.26236105,0.93615085,0.89621419,0.00000000,0.95567012,0.41502056,0.00000000,0.00000000,-0.97205412,0.00000000
excursion,2.49294168,0.40229848,0.93287036,0.91278127,0.00000000,0.96727416,0.26369148,0.00000000,0.00000000,-0.98597407,0.00000000
abnormality,2.49274406,0.26844218,0.92166972,0.95296350,0.00000000,0.82857361,0.36942858,0.00000000,0.00000000,-0.84833354,0.00000000
threat,2.49238864,0.32342300,0.89420158,0.90537107,0.00000000,0.80057013,0.36687267,0.00000000,0.00000000,-0.79804981,0.00000000
insurgence,2.48954260,0.45744899,0.86805972,0.95031372,0.00000000,0.94773751,0.25588843,0.00000000,0.00000000,-0.98990577,0.00000000
lending,2.48842898,0.26459298,0.87302426,0.90572864,0.00000000,0.95875308,0.47350782,0.00000000,0.00000000,-0.98717779,0.00000000
reciprocity,2.48801634,0.27186170,0.86656171,0.94320822,0.00000000,0.94372359,0.42311630,0.00000000,0.00000000,-0.96045518,0.00000000
teaching,2.48522392,0.29584712,0.82535368,0.86131188,0.00000000,0.97546843,0.48213556,0.00000000,0.00000000,-0.95489275,0.00000000
odyssey,2.48384553,0.36105341,0.93945295,0.94864827,0.00000000,0.94935852,0.25650793,0.00000000,0.00000000,-0.97117555,0.00000000
geranium,2.48195213,0.39453688,0.91630268,0.92389283,0.00000000,0.81859639,0.35150060,0.00000000,0.00000000,-0.92287725,0.00000000
archeology,2.48184729,0.00000000,0.82211819,0.95606345,0.00000000,0.95020470,0.47646940,0.00000000,0.00000000,-0.72300845,0.00000000
